features:abstractness
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
mclip_standalone	0,0022899085023576626	0,02672452849180762	0,1881037333250587	0,1411299830067686	0,13057931654436106	0,08602766911647652	0,17582463583485852	0,007234721344586248	0,007469693603279537	0,0591630336241703	0,0058236109622648025	0,008564018124977313	0,008469728152837974	-	0,001455760145846141	0,11859797907878333
openclip_context_avg	0,0027980911305944822	0,02403914613580682	0,18822486848767284	0,13942548747463457	0,13616782487545542	0,08644943949257478	0,17319189066025487	0,022794108617852693	0,023181189867352514	0,07665596471608671	0,027081001989715747	0,0024038418484703117	0,030079888756218698	0,0014557463458809705	-	0,1254363890247212
openclip_standalone	0,07602088392620632	0,027116231894008802	0,03355510936650452	0,05006652277082124	0,004819734564440403	0,01674497513851181	0,02388797356539263	0,17067754168521354	0,16991544625029886	0,18532087701534872	0,15985520166883016	0,1392524372103473	0,1541344517545482	0,11859814343014907	0,12543626566655797	-
features:abstractness+count
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
fasttext	-	0,05188401603860604	0,16254322369032737	0,17376577102006663	0,14298514525685846	0,03967005237633969	0,1925077502287309	0,028190598540020706	0,02868772871097036	0,04358586180910373	0,07231221284795841	0,09535195264688301	0,10816883299628699	0,1654978005490083	0,09704013162335579	0,07958204323256879
bert_context_last_layer	0,051884009689575294	-	0,1211744668667819	0,19838767070099028	0,11694296648961922	0,01641551197708102	0,13279134144848115	0,04569979833401805	0,0449182157618927	0,08558607021149611	0,04709925871826237	0,036534379499098435	0,06297052081926069	0,09619211778442016	0,040056538445069845	0,03523644100862622
bert_standalone	0,16254336528359237	0,12117427005144543	-	0,023090640637810744	0,017971949647878738	0,08272436486842771	0,003775626193865622	0,23854067761676334	0,23810002892783078	0,2565956839048458	0,24224926034094074	0,2037925872174633	0,2590800600295997	0,26316103043244177	0,20936456582448648	0,03856854206411364
bert_vulic	0,17376569640954465	0,19838729346430584	0,02309065357217932	-	0,06359567914002062	0,07704997281280979	0,037792810778428	0,17118762764957185	0,17035527912364468	0,21140419035360603	0,17757190513949328	0,17423407530880963	0,18642751782207512	0,1988986716114849	0,1703311456497294	0,05597369313879064
mbert_context_last_layer	0,14298514185658495	0,11694289235910149	0,01797205142665026	0,06359566789265492	-	0,03368537869523058	0,030026226168999748	0,17580060192910696	0,17421372582946437	0,23746782704946934	0,18281928992258079	0,16251354852455857	0,19914966767363762	0,20700796641410013	0,16741930710510733	0,005512263011075325
mbert_standalone	0,03967000700376622	0,016415330605309975	0,08272433315773042	0,07705031436475518	0,0336854002575504	-	0,0618369399733667	0,2174149588221711	0,21727781979626415	0,16989393741372483	0,22860670000871042	0,17166108094635246	0,2580164742434544	0,26978662548393384	0,16759575723962328	0,016875621115181816
mbert_vulic	0,19250774215137745	0,13279155176388646	0,003775649931407332	0,03779280130207774	0,030026570399053765	0,06183696684928697	-	0,21691099688947346	0,21470508209104167	0,29819050814761416	0,21779727674558447	0,2029649041889906	0,22991148621636448	0,23856221389832055	0,19627223270443128	0,024685308736648204
xlmr_context_last_layer	0,028190609474065043	0,045699928440286364	0,2385401811224821	0,17118752001689008	0,17580072870781738	0,21741465044657537	0,2169105711110315	-	0,0072160633311421085	0,05426870025531316	0,3628093248700195	0,19049837439079365	0,4567923945498339	0,3300838679893804	0,14217396222035017	0,17845283439353699
xlmr_standalone	0,02868771948234361	0,04491827112652247	0,23809986152216356	0,17035569390801875	0,17421360387079077	0,21727739784927957	0,21470465199109756	0,007216079394328556	-	0,05168081334450181	0,33370683694964687	0,182224609199356	0,4330268552015144	0,32156482216842686	0,13669883775745006	0,1781250886310105
xlmr_vulic	0,0435858805603484	0,08558609286659591	0,256596273058325	0,21140385074685897	0,2374677759442354	0,169893964794531	0,2981908120444712	0,054268710487625715	0,05168096626822638	-	0,08835582316957258	0,14619553268516217	0,12872988778613803	0,2134822788431081	0,11619752188703225	0,19283913584073387
clip_context_avg	0,07231222917378222	0,04709922390542731	0,24224963211786643	0,17757199694218795	0,18281946301667695	0,2286068904159979	0,21779763446539746	0,3628092768246395	0,3337069373432564	0,08835621505560765	-	0,059031798490039034	0,17603896058692525	0,17040749022184498	0,04140446263026465	0,19561001019860236
clip_standalone	0,09535197218093361	0,036534566641881705	0,20379266401422624	0,17423393021961886	0,16251366983323157	0,17166129247783224	0,20296435671224478	0,1904983447877614	0,18222467907299522	0,14619493944456796	0,059031726630363934	-	0,04481481064430315	0,11317509614987142	0,004094549409435544	0,2087666741745693
mclip_context_avg	0,1081688537893748	0,06297047127238575	0,2590802372471246	0,18642743180790444	0,19914967675594109	0,25801672168172507	0,2299111726931825	0,45679241994210185	0,4330266763571903	0,1287294945165437	0,17603884087685684	0,04481490584024772	-	0,09824100866315888	0,041101003083667376	0,21474530722097884
mclip_standalone	0,16549779401061437	0,09619203428570655	0,2631610507680058	0,19889876874630164	0,20700786647880254	0,26978694095626254	0,23856240625497893	0,3300838955797877	0,32156495901204063	0,2134821146896897	0,17040746318655142	0,11317507021143158	0,09824106783795605	-	0,09530534406725988	0,24402033524476818
openclip_context_avg	0,09704011342667318	0,04005653830478362	0,20936456034011752	0,17033112515985283	0,16741942276798627	0,16759561608324947	0,1962720086251234	0,1421739898696326	0,13669882177953363	0,1161979367376943	0,041404456967809256	0,004094465548675319	0,04110098770979065	0,09530544268383656	-	0,17574998406906117
openclip_standalone	0,07958207463882883	0,0352365643032555	0,03856835287780169	0,055973769702024945	0,005512263252679728	0,016875577271353248	0,024685162792382753	0,17845278466595405	0,17812504970885112	0,1928391293060211	0,19560993135823235	0,2087666753571531	0,21474540680555432	0,24402047809812266	0,17574984906549662	-
features:basic+relations_wordnet_flag_antonyms
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
fasttext	-	0,05186989885484761	0,1629628256304636	0,1767532395124478	0,14360945910281253	0,040146932712744166	0,19375063940355064	0,02959033879962114	0,030137941527939804	0,04436651339971165	0,07358840517574716	0,0964243802642184	0,109452368938172	0,1666773182393645	0,09841998976899602	0,07962072807981946
bert_context_last_layer	0,05186989247835894	-	0,12138333227365117	0,2022652699309081	0,11910660115732796	0,01699204884379102	0,13507473408394388	0,04739151370743222	0,04665609684595462	0,08622109845906589	0,04858135416316267	0,03754958182033186	0,06443077598998914	0,09753635897604918	0,041519751473797495	0,0351814253828624
bert_standalone	0,16296296713014824	0,12138313542399093	-	0,027438071723891344	0,019840852351165172	0,08282431466482776	0,0060349530301416765	0,23950457494077904	0,2391407413289578	0,2565829930152882	0,24288564066080665	0,20381492348314678	0,2596145148490919	0,26343933803867925	0,20966178612681907	0,038698429073866336
bert_vulic	0,176753165034518	0,20226489309127416	0,027438084414031616	-	0,06584252626629583	0,080640133802931	0,0392717732558997	0,1748405256592428	0,1740398497287381	0,21491512236094112	0,1811388205279626	0,17786641543716963	0,18995547194315332	0,20246655002622838	0,1739949883347346	0,059115863242028444
mbert_context_last_layer	0,14360945566054872	0,1191065274238795	0,01984095405617603	0,0658425154880119	-	0,036534116763575764	0,030839873632784176	0,1795055703437235	0,177960021932264	0,2404117704187042	0,18633896127679805	0,16572887010519677	0,20261699842394165	0,21038505086708748	0,17108114320257484	0,006789302014556853
mbert_standalone	0,040146887211039206	0,016991867534714822	0,08282428278203235	0,08064047489001469	0,036534137574254166	-	0,06441518205200591	0,21819731611873983	0,21813679087221538	0,16983368572330604	0,2289333753796129	0,17160546203538696	0,2583385138358141	0,2699150701796942	0,1676305796235954	0,017285521401790627
mbert_vulic	0,19375063143832816	0,13507494370857842	0,006034976140175674	0,039271764423516875	0,03084021768887113	0,06441520785073762	-	0,2198955733481568	0,21772316699503858	0,3008493030262659	0,22070220745389146	0,20592911898720256	0,23280033160122449	0,24155661644378956	0,1993624338404425	0,026482257890287464
xlmr_context_last_layer	0,02959034982539599	0,047391643598702515	0,23950407885388836	0,17484041833414388	0,17950569617832846	0,2181970076555727	0,21989514740560323	-	0,007853626436602923	0,05532757723263804	0,36324462754314646	0,1918562189672106	0,4569645529470928	0,3301025080097888	0,14257553181009597	0,17987006271452255
xlmr_standalone	0,0301379322155112	0,04665615234977705	0,23914057415608236	0,17404026582080045	0,17795989978651483	0,2181363690728383	0,21772273659244346	0,007853642520029958	-	0,05282050135539185	0,3344781484606669	0,18371931411596265	0,4333951861196217	0,3216167329720847	0,1371952562489781	0,1795975824282302
xlmr_vulic	0,04436653209632779	0,08622112152715533	0,25658358214042454	0,2149147826657043	0,24041171892327984	0,16983371309639528	0,3008496066733114	0,05532758752535438	0,05282065395893931	-	0,08891766066229212	0,14619012333413872	0,1292466949687544	0,21386316035894348	0,11637449393388455	0,1933009305092107
clip_context_avg	0,07358842165517987	0,048581319474457096	0,24288601202902316	0,18113891211285094	0,18633913405571534	0,22893356578797786	0,22070256483936634	0,36324457941971344	0,3344782491674342	0,08891805265583308	-	0,06000394172540957	0,17597897581033106	0,1703444865716146	0,041593819522049214	0,19680439508759706
clip_standalone	0,0964243999761265	0,0375497692455794	0,203815000360285	0,17786627171324787	0,1657289912904305	0,17160567364507018	0,20592857077058857	0,19185618878942123	0,18371938336701366	0,1461895297990793	0,060003870326541975	-	0,045769301192113754	0,11345987527163948	0,004264951126512817	0,20954171505147123
mclip_context_avg	0,10945238991937356	0,06443072643161019	0,259614691717568	0,18995538631593645	0,20261700792183435	0,25833876138267553	0,23280001765069536	0,45696457842823424	0,4333950067206146	0,12924630216496913	0,1759788561083292	0,04576939600003416	-	0,09817242044007068	0,041438160295004356	0,21589098774606352
mclip_standalone	0,1666773117815875	0,09753627489049876	0,26343935834441545	0,20246664525430813	0,21038495034691418	0,2699153856630925	0,2415568085298906	0,33010253565483405	0,3216168696553545	0,2138629962206855	0,17034445953287214	0,11345984948786592	0,09817247961726372	-	0,09528753786933775	0,2449048376974794
